NC_Accession,Identity or Parentage,Pedigree,FAG
Bailey,NC 12C*2 / N96076L,BC1F1-06-01-S-03-S-05: F09,+ +
CHAMPS,CHAMPS,,+ +
FloriGiant,FloriGiant,,+ +
Georgia Green,Georgia Green,,+ +
Georgia-06G,Georgia-06G,,+ +
Georgia-07W,Georgia-07W,,+ +
Georgia-12Y,Georgia-12Y,,+ +
Gregory,Gregory,,+ +
HTS 02-06,NC Ac 18000 / 9548-10,,+ +
N03088,NC 12C*2 / N96076L,BC1F1-06-04-S-02-S-08: F09,+ +
N04067,N96029 / N97069,F2-03-S-01-S-06: F09,+ +
N04072,N96029 / N97069,F2-03-S-03-S-03: F09,+ +
N04074,N97070 / N96029,F2-04-S-01-S-03: F09,+ +
N05006,NC-V 11 // Georgia Green / NC-V 11,BC1F01-08-02-01-01-05: F08,+ +
N05008,Georgia Green // NC-V 11 / Georgia Green,BC1F01-06-01-02-03-06: F08,+ +
N05013,N97137C / N98002,F2-01-S-02-01-01: F08,+ +
N05016,N97137C / N98002,F2-05-S-01-02-01: F08,+ +
N05024,N98002 / N97140C,F2-05-S-03-01-01: F08,+ +
N06001,N92023E / Rositza,F2-01-02-01-02-02: F09,+ +
N07018,N99133CSm / N00035J,F2-01-S-01-S-02: F09,+ +
N07019,N99133CSm / N00035J,F2-01-S-01-S-03: F09,+ +
N08034,Perry / Georgia Green,F2-06-01-01-01-02: F08,+ +
NC-V 11,NC-V 11,,+ +
PD 14001,PD 14001,,+ +
PD 14002,PD 14002,,+ +
PD 14003,PD 14003,,+ +
Perry,Perry,,+ +
Phillips,Phillips,,+ +
SPT 06-02,Georgia Green / GP-NC WS 12,,+ +
SPT 06-06,DP-1 (UF97318) // C-99R (UF94320) / GP-NC WS 12,,+ +
SPT 07-01,NC-V 11 / GP-NC WS 11,,+ +
SPT 08-02,"NC 12C /3/ HTS 02-02, NC-V 11 // NC 6 / 82 F2LS 501-2 - F1-C",,+ +
SPT 09-02,NC-V 11 / GP-NC WS 11,,+ +
SPT 10-02,Perry / GP-NC WS 11 // Brantley,,+ +
SPT 10-05,"VA 98R // 04 L SPT LAU 003, NC 12C / GP-NC WS 15",,+ +
SPT 10-09,"VA 98R // 04 L SPT LAU 003, NC 12C / GP-NC WS 15",,+ +
SPT 10-10,"Wilson // 04 L LAU 003, NC 12C x GP-NC WS 15",,+ +
SPT 13-01,SPT 06-07 / PI 598134,,+ +
SPT 13-02,SPT 07-01 / SPT 06-06,,+ +
SPT 13-03,SPT 07-01 / SPT 06-06,,+ +
SPT 13-04,SPT 07-01 / SPT 06-07,,+ +
Sugg,"Gregory // X98006 , N90010E / Tamrun 98",F1-09-02-S-01-S-02: F09,+ +
TifGuard,TifGuard,,+ +
VA 98R,VA 98R,,+ +
ACI WT09-0761,ACI WT09-0761,,Check
ACI WT12-0419,ACI WT12-0419,,Check
ACI WT12-0433,ACI WT12-0433,,Check
Harris 1,Harris 1,,Check
N09035,N03079FT*2 / Brantley,BC1F1-05-01-S-02-03-02: F08,Check
N11014,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-06-01-S-01-02-05: F08,Check
ACI WT11-0351,ACI WT11-0351,,ol ol
ACI WT12-0226,ACI WT12-0226,,ol ol
ACI WT12-0420,ACI WT12-0420,,ol ol
Bailey II,"Bailey /4/ X07016, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-02-S-02: F09,ol ol
Brantley,Brantley,,ol ol
Emery,N03079FT*2 / Brantley,BC1F1-03-01-01-02-02-01: F08,ol ol
Florida Fancy,Florida Fancy,,ol ol
Florida-07,Florida-07,,ol ol
FloRun 107,FloRun 107,,ol ol
FloRun 157,FloRun 157,,ol ol
FloRun 331,FloRun 331,,ol ol
Georgia-09B,Georgia-09B,,ol ol
Georgia-11J,Georgia-11J,,ol ol
HTS 15-04ol,SPT 06-07 // N03079FT*2 / N02054ol ,,ol ol
N07033,N01015T / N00098ol,F2-01-S-01-S-04: F09,ol ol
N07036,N01015T / N00098ol,F2-01-S-01-S-07: F09,ol ol
N07037,N01015T / N00098ol,F2-01-S-01-S-10: F09,ol ol
N08069,N03079FT*2 / N02059ol,BC1F1-04-01-S-02-S-01: F09,ol ol
N08070,N03079FT*2 / N02059ol,BC1F1-04-01-S-02-S-03: F09,ol ol
N08071,N03079FT*2 / N02059ol,BC1F1-04-01-S-02-S-06: F09,ol ol
N08072,N03079FT*2 / N02059ol,BC1F1-04-02-S-02-S-01: F09,ol ol
N08073,N03079FT*2 / N02059ol,BC1F1-04-02-S-02-S-02: F09,ol ol
N08074,N03079FT*2 /  N02059ol,BC1F1-04-02-S-02-S-03: F09,ol ol
N08082,Bailey*2 / Brantley,BC1F1-04-01-S-02-S-04: F09,ol ol
N08085,Bailey*2 /  Brantley,BC1F1-04-01-S-04-S-04: F09,ol ol
N08085,Bailey*2 / Brantley,BC1F1-04-01-S-04-S-04: F09,ol ol
N08087,Bailey*2 / Brantley,BC1F1-04-01-S-05-S-01: F09,ol ol
N09019,N00091ol / N99067J,F2-02-01-02-01-04: F08,ol ol
N09024,N00052 / N00098ol,F2-01-02-01-01-01: F08,ol ol
N09025,N00052 / N00098ol,F2-01-02-01-01-02: F08,ol ol
N09026,N00052 / N00098ol,F2-01-02-01-01-03: F08,ol ol
N09028,N00054 / N00087ol,F2-01-01-01-01-01: F08,ol ol
N09030,N00061 / N99103ol,F2-03-01-03-02-05: F08,ol ol
N09031,N02009*2 / N00088ol,BC1F1-04-01-S-01-03-01: F08,ol ol
N09032,N02009*2 / N00088ol,BC1F1-04-01-S-01-03-02: F08,ol ol
N09037,N03079FT*2 / Brantley,BC1F1-05-01-S-07-03-03: F08,ol ol
N09039,N03079FT*2 / N02054ol,BC1F1-04-03-S-01-01-04: F08,ol ol
N09042,N03079FT*2 / N02054ol,BC1F1-04-03-S-03-01-02: F08,ol ol
N09046,N03075FT / N00098ol,F2-01-S-02-S-03: F09,ol ol
N09049,N03075FT / N00098ol,F2-02-S-01-S-01: F09,ol ol
N09053,N03075FT / N00098ol,F2-02-S-01-S-05: F09,ol ol
N09056,N03075FT / N00098ol,F2-02-S-01-S-08: F09,ol ol
N09058,N03075FT / N00098ol,F2-02-S-01-S-10: F09,ol ol
N09068,N04052FCSmT / N02051ol,F2-04-S-01-S-01: F09,ol ol
N09078,N04070CSmT / N02060ol,F2-02-S-06-S-09: F09,ol ol
N10025,"N00098ol // X00090, PI 210832 / Chico ol1ol2",BC1F1-04-02-05-01-01-03: F08,ol ol
N10036,N00088ol // N01012T / N00088ol,BC1F1-02-02-01-02-01-01: F08,ol ol
N10037,N02054ol // N02005 / N02054ol,BC1F1-11-03-01-01-01-01: F08,ol ol
N10038,N02054ol // N02005 / N02054ol,BC1F1-11-03-03-01-02-01: F08,ol ol
N10039,N02054ol // N02005 / N02054ol,BC1F1-11-03-04-01-01-03: F08,ol ol
N10040,N02059ol // N02006 / N02059ol,BC1F1-05-01-02-03-01-01: F08,ol ol
N10041,N02006*2 / N02059ol,BC1F1-10-01-01-02-01-01: F08,ol ol
N10042,N02006*2 / N02059ol,BC1F1-10-01-01-02-02-01: F08,ol ol
N10043,N02006*2 / N02059ol,BC1F1-10-01-01-03-02-01: F08,ol ol
N10044,N02009*2 / N00088ol,BC1F1-06-01-01-02-01-01: F08,ol ol
N10045,Brantley // N03079FT / Brantley,BC1F1-03-02-01-02-01-01: F08,ol ol
N10047,N03079FT*2 / Brantley,BC1F1-03-01-03-02-02-03: F08,ol ol
N10048,N03079FT*2 / Brantley,BC1F1-03-02-01-01-03-03: F08,ol ol
N10049,N02054ol // N03079FT / N02054ol,BC1F1-02-01-01-02-02-01: F08,ol ol
N10050,N03079FT*2 / N02059ol,BC1F1-08-02-S-02-S-03-01: F10,ol ol
N10051,N03079FT*2 / N02059ol,BC1F1-08-02-S-02-S-03-05: F10,ol ol
N10052,Bailey*2 / Brantley,BC1F1-03-01-01-02-02-01: F08,ol ol
N10053,Bailey*2 / Brantley,BC1F1-03-01-02-02-02-01: F08,ol ol
N10054,N00098ol // N03090T / N00098ol,BC1F1-04-02-01-01-02-02: F08,ol ol
N10055,N00098ol // N03090T / N00098ol,BC1F1-04-02-02-02-02-01: F08,ol ol
N10056,N00098ol // N03090T / N00098ol,BC1F1-05-02-02-02-02-03: F08,ol ol
N10057,N04068CSm / N00098ol,F2-01-S-01-01-02: F08,ol ol
N10058,N04070CSmT / N00098ol,F2-02-S-01-01-05: F08,ol ol
N10059,N04070CSmT / N02060ol,F2-08-S-02-01-02: F08,ol ol
N10060,N04070CSmT / N02060ol,F2-08-S-02-02-02: F08,ol ol
N10061,"N03073FT // X05016, N03073FT / N02064ol",BC1F1-06-01-S-01-S-02: F09,ol ol
N10063,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-01-S-02: F09,ol ol
N10064,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-01-S-03: F09,ol ol
N10066,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-02-S-01: F09,ol ol
N10068,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-02-S-03: F09,ol ol
N10069,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-02-S-05: F09,ol ol
N10070,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-02-01-S-02-S-08: F09,ol ol
N10071,"N03076FT // X05019, N03076FT / N02060ol",BC1F1-08-01-S-02-S-06: F08,ol ol
N10073,"Bailey // X05027, Bailey / N02060ol",BC1F1-07-01-S-02-S-02: F08,ol ol
N10074,"Bailey // X05028, Bailey / N02064ol",BC1F1-06-01-S-02-S-02: F08,ol ol
N10075,"N03088T // X05030, N03088T / N02064ol",BC1F1-03-03-S-02-S-01: F08,ol ol
N10076,"N03088T // X05030, N03088T / N02064ol",BC1F1-04-01-S-01-S-05: F09,ol ol
N10077,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-01-S-02: F09,ol ol
N10078,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-01-S-04: F09,ol ol
N10079,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-01-S-05: F09,ol ol
N10080,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-01-S-07: F09,ol ol
N10081,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-02-S-04: F08,ol ol
N10082,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-03-S-02: F09,ol ol
N10083,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-03-S-03: F09,ol ol
N10084,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-03-S-04: F09,ol ol
N10085,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-03-S-05: F09,ol ol
N10086,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-04-S-02: F08,ol ol
N10087,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-01-S-04-S-03: F08,ol ol
N10088,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-02-S-01-S-04: F08,ol ol
N10089,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-02-S-02-S-02: F09,ol ol
N10090,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-02-S-02-S-03: F09,ol ol
N10091,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-02-S-03-S-02: F09,ol ol
N10092,"N03088T // X05030, N03088T / N02064ol",BC1F1-05-02-S-03-S-04: F09,ol ol
N10093,"N03088T // X05030, N03088T / N02064ol",BC1F1-06-02-S-01-S-01: F09,ol ol
N10094,"N03088T // X05030, N03088T / N02064ol",BC1F1-06-02-S-01-S-02: F09,ol ol
N10095,"N03090T // X05032, N03090T / N02064ol",BC1F1-09-02-S-01-S-01: F09,ol ol
N10098,"N03090T // X05032, N03090T / N02064ol",BC1F1-09-02-S-02-S-05: F09,ol ol
N10099,"N03090T // X05032, N03090T / N02064ol",BC1F1-09-02-S-03-S-02: F08,ol ol
N10100,"N03090T // X05032, N03090T / N02064ol",BC1F1-09-02-S-03-S-03: F08,ol ol
N10101,"N03090T // X05032, N03090T / N02064ol",BC1F1-09-02-S-05-S-01: F08,ol ol
N11001,N04028CSmT / N02060ol,F2-04-01-03-02-02: F08,ol ol
N11002,N04028CSmT / N02060ol,F2-04-01-04-03-01: F08,ol ol
N11003,N04028CSmT / N02060ol,F2-04-01-04-03-02: F08,ol ol
N11004,N04028CSmT / N02060ol,F2-04-02-03-01-01: F08,ol ol
N11005,N04028CSmT / N02060ol,F2-04-02-04-01-01: F08,ol ol
N11006,N04028CSmT / N02060ol,F2-04-05-01-02-04: F08,ol ol
N11007,N04028CSmT / N02060ol,F2-04-05-01-03-03: F08,ol ol
N11008,N04028CSmT / N02060ol,F2-04-05-02-02-02: F08,ol ol
N11009,N04033FCSmT / N00098ol,F2-02-02-01-01-01: F08,ol ol
N11010,N04033FCSmT / N00098ol,F2-02-02-01-01-03: F08,ol ol
N11011,N02020J / Brantley,F2-01-01-01-02-03: F08,ol ol
N11012,N02020J / Brantley,F2-02-03-01-02-01: F08,ol ol
N11013,N02020J / Brantley,F2-02-04-02-02-01: F08,ol ol
N11016,"Bailey // X05027, Bailey / N02060ol",BC1F1-03-02-S-02-01-03: F08,ol ol
N11017,"Bailey // X05028, Bailey / N02064ol",BC1F1-05-01-S-01-01-05: F08,ol ol
N11018,"Bailey // X05028, Bailey / N02064ol",BC1F1-05-01-S-01-02-01: F08,ol ol
N11019,"N03090T // X05032, N03090T / N02064ol",BC1F1-06-01-S-02-02-04: F08,ol ol
N11020,"N02059ol // X03024, N02006 / N02059ol, X03146 /3/ N03084FT",F2-04-S-02-S-01: F09,ol ol
N11022,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-01-S-01-S-02: F09,ol ol
N11023,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-01-S-01-S-03: F09,ol ol
N11024,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-01-S-01-S-05: F09,ol ol
N11025,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-02-S-01-S-02: F08,ol ol
N11027,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-02-S-02-S-04: F08,ol ol
N11028,"N03079FT*2 / Brantley, X03151 // Sugg",F2-07-S-01-S-02: F08,ol ol
N11028,"N03079FT*2 / Brantley, X03151 // Sugg",F2-07-S-01-S-02: F08,ol ol
N11029,"N03079FT*2 / Brantley, X03151 // Sugg",F2-07-S-01-S-05: F08,ol ol
N11031,"N03079FT*2 / Brantley, X03151 // Sugg",F2-09-S-01-S-04: F09,ol ol
N11034,"N03079FT*2 / Brantley, X03151 // Sugg",F2-14-S-03-S-03: F09,ol ol
N11036,"N03079FT*2 / Brantley, X03151 // Sugg",F2-14-S-04-S-02: F09,ol ol
N11038,"N03079FT*2 / Brantley, X03151 // Sugg",F2-14-S-04-S-07: F09,ol ol
N11039,"N03079FT*2 / Brantley, X03151 // Sugg",F2-14-S-04-S-08: F09,ol ol
N11040,"N03079FT*2 / Brantley, X03151 // Sugg",F2-15-S-01-S-04: F09,ol ol
N11041,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-01-S-01-S-03: F08,ol ol
N11042,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-01-S-01-S-06: F08,ol ol
N11043,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-02-S-01-S-01: F09,ol ol
N11044,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-02-S-01-S-04: F09,ol ol
N11045,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-02-S-02-S-07: F09,ol ol
N11046,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-02-S-05-S-02: F09,ol ol
N11047,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-06-S-01-S-01: F08,ol ol
N11048,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-06-S-01-S-04: F08,ol ol
N11051,"N03079FT*2 / N02054ol, X03153 // N03084FT",F2-05-S-02-S-02: F08,ol ol
N11052,"N01015T / N00098ol, X02083 // N03084FT",F2-01-S-02-S-01: F08,ol ol
N12001,"Bailey /4/ X07014, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-01-S-03-S-02: F09,ol ol
N12002,"Bailey /4/ X07014, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-02-S-01-S-01: F09,ol ol
N12003,"Bailey /4/ X07014, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-02-S-01-S-02: F09,ol ol
N12004,"Bailey /4/ X07014, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-02-S-01-S-03: F09,ol ol
N12005,"Bailey /4/ X07015, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-01-S-02-S-02: F09,ol ol
N12006,"Bailey /4/ X07015, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-01-S-02-S-04: F09,ol ol
N12011,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-06-02-S-02-S-01: F09,ol ol
N12012,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-06-02-S-02-S-02: F09,ol ol
N12013,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-06-02-S-02-S-03: F09,ol ol
N12014,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-06-02-S-02-S-04: F09,ol ol
N12016,"N03090T /4/ X07021, N03090T // X05032, N03090T / N02064ol, X05254 /3/ N03090T",BC3F1-05-01-S-02-S-01: F09,ol ol
N13001,"N03079FT // X05024, N03079FT / N02064ol",BC1F1-04-01-01-01-01-01: F09,ol ol
N13002,"Bailey // X05027, Bailey / N02060ol",BC1F1-02-02-01-02-01-01: F09,ol ol
N13003,"Bailey // X05027, Bailey / N02060ol",BC1F1-02-02-01-03-01-02: F09,ol ol
N13004,"Bailey // X05027, Bailey / N02060ol",BC1F1-04-01-01-01-01-01: F09,ol ol
N13005,"Bailey // X05027, Bailey / N02060ol",BC1F1-04-01-01-01-01-02: F09,ol ol
N13006,"Bailey // X05027, Bailey / N02060ol",BC1F1-04-01-01-02-02-02: F09,ol ol
N13007,"Bailey // X05027, Bailey / N02060ol",BC1F1-13-04-01-01-01-02: F09,ol ol
N13008,"Bailey // X05028, Bailey / N02064ol",BC1F1-02-02-01-01-02-03: F09,ol ol
N13009,"N03090T // X05032, N03090T / N02064ol",BC1F1-10-01-01-02-01-01: F09,ol ol
N13010,"N03090T // X05032, N03090T / N02064ol",BC1F1-10-01-01-03-03-02: F09,ol ol
N13011,"N00088ol // N01013T / N00088ol, X03134 /3/ N03078FT",F2-04-S-01-01-03: F09,ol ol
N13012,"N02054ol // N02005 / N02054ol, X03138 /3/ N03084FT",F2-02-S-01-01-02: F09,ol ol
N13013,"N02054ol // N02005 / N02054ol, X03138 /3/ N03084FT",F2-08-S-01-01-02: F09,ol ol
N13014,"N02054ol // N02005 / N02054ol, X03138 /3/ N03084FT",F2-11-S-02-02-02: F09,ol ol
N13015,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-11-S-01-02-01: F09,ol ol
N13016,"N03079FT*2 / Brantley, X03151 // Sugg",F2-16-S-01-02-01: F09,ol ol
N13017,"N03079FT*2 / Brantley, X03151 // Sugg",F2-16-S-01-03-03: F09,ol ol
N13018,"N03079FT*2 / Brantley, X03151 // Sugg",F2-16-S-01-04-01: F09,ol ol
N13019,"N03079FT*2 / Brantley, X03151 // Sugg",F2-16-S-04-01-01: F09,ol ol
N13020,"N03079FT*2 /  N02054ol, X03153 // N03078FT",F2-04-S-01-01-01: F09,ol ol
N13021,"N03079FT*2 / N02059ol, X03155 // N03084FT",F2-02-S-01-01-01: F09,ol ol
N13022,"Bailey*2 / Brantley, X03157 // N03078FT",F2-05-S-01-02-01: F09,ol ol
N13023,"Bailey /4/ X07013, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-01-S-03: F09,ol ol
N13025,"Bailey /4/ X07015, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-01-S-01-S-02: F09,ol ol
N13026,"N03090T /4/ X07021, N03090T // X05032, N03090T / N02064ol, X05254 /3/ N03090T",BC3F1-05-03-S-01-S-02: F09,ol ol
N13027,"N03090T /4/ X07022, N03090T // X05032, N03090T / N02064ol, X05254 /3/ N03090T",BC3F1-02-01-S-01-S-04: F09,ol ol
N13029,"N03079FT*2 / N02054ol, X03153 // N06056LT",F1-01-03-S-01-S-05: F09,ol ol
N13035,"N03079FT*2 / N02054ol, X03153 // SPT 06-07",F1-03-04-S-02-S-01: F09,ol ol
N13040,"N03079FT*2 / N02054ol, X03153 // SPT 06-07",F1-04-04-S-02-S-05: F09,ol ol
N13041,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-01-S-01: F09,ol ol
N13042,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-01-S-02: F09,ol ol
N13043,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-01-S-03: F09,ol ol
N13044,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-01-S-04: F09,ol ol
N13045,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-01-S-05: F09,ol ol
N13047,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-03-S-02: F09,ol ol
N13049,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-04-S-01: F09,ol ol
N13051,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-04-S-03: F09,ol ol
N13052,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-04-S-04: F09,ol ol
N13054,"N03079FT*2 / N02059ol, X03155 // N05049J",F1-02-01-S-02-S-02: F09,ol ol
N13055,"N03079FT*2 / N02059ol, X03155 // N05049J",F1-02-01-S-02-S-03: F09,ol ol
N13056,"N03079FT*2 / N02059ol, X03155 // N05049J",F1-02-01-S-02-S-04: F09,ol ol
N13057,"N03079FT*2 / N02059ol, X03155 // N05049J",F1-02-02-S-01-S-02: F09,ol ol
N13058,"Bailey*2 / Brantley, X03157 // SPT 06-06",F1-01-01-S-01-S-02: F09,ol ol
N13059,"Bailey*2 / Brantley, X03157 // SPT 06-06",F1-01-01-S-01-S-03: F09,ol ol
N13060,"Bailey*2 / Brantley, X03157 // SPT 06-06",F1-01-01-S-02-S-06: F09,ol ol
N14001,"N02006 // X05012, N02006 / N02064ol",BC1F1-07-02-01-01-01-02: F09,ol ol
N14002,"N03079FT // X05024, N03079FT / N02064ol",BC1F1-01-01-02-01-01-01: F09,ol ol
N14003,"Bailey // X05027, Bailey / N02060ol",BC1F1-02-02-01-03-01-02: F09,ol ol
N14004,"Bailey // X05027, Bailey / N02060ol",BC1F1-04-01-01-01-01-01: F09,ol ol
N14005,"Bailey // X05028, Bailey / N02064ol",BC1F1-02-02-01-01-02-03: F09,ol ol
N14006,"N03090T // X05032, N03090T / N02064ol",BC1F1-10-05-01-05-02-03: F09,ol ol
N14007,"Phillips / N99121CSm, X00044 /3/ X05036, Phillips / N99121CSm, X00044 // N02064ol",BC1F1-03-01-01-02-02-03: F09,ol ol
N14008,"Phillips / N99121CSm, X00044 /3/ X05036, Phillips / N99121CSm, X00044 // N02064ol",BC1F1-03-01-02-03-02-02: F09,ol ol
N14009,"Phillips / N99121CSm, X00044 /3/ X05036, Phillips / N99121CSm, X00044 // N02064ol",BC1F1-03-01-03-01-02-01: F09,ol ol
N14010,"PI 269685 // X05039, PI 269685 / N02060ol",BC1F1-04-02-02-02-04-02: F09,ol ol
N14011,"PI 269685 // X05039, PI 269685 / N02060ol",BC1F1-04-02-02-02-05-01: F09,ol ol
N14012,"N02020J // X04102, N02020J / Brantley",F2-01-S-03-01-03: F09,ol ol
N14013,"N00088ol // N01013T / N00088ol, X03134 /3/ N03078FT",F2-03-S-01-01-01: F09,ol ol
N14014,"N00088ol // N01013T / N00088ol, X03134 /3/ Sugg",F2-01-S-04-01-01: F09,ol ol
N14015,"N00088ol // N01013T / N00088ol, X03134 /3/ Sugg",F2-01-S-05-02-05: F09,ol ol
N14016,"N00088ol // N01013T / N00088ol, X03134 /3/ Sugg",F2-01-S-05-03-01: F09,ol ol
N14017,"N02054ol // N02005 / N02054ol, X03138 /3/ N03084FT",F2-02-S-01-01-02: F09,ol ol
N14018,"N03079FT*2 / Brantley, X03151 // Sugg",F2-16-S-04-01-02: F09,ol ol
N14019,"N03079FT*2 / N02054ol, X03153 // N03078FT",F2-03-S-01-01-02: F09,ol ol
N14020,"Bailey*2 / Brantley, X03157 // N03078FT",F2-01-S-02-01-01: F09,ol ol
N14021,"N01015T / N00098ol, X02083 // N03084FT",F2-05-S-01-01-03: F09,ol ol
