NC_Accession,Identity or Parentage,Pedigree,FAG
N14022,"N01015T / N00098ol, X02083 // N03084FT",F2-05-S-01-02-01: F09,ol ol
N14023,"N01015T / N00098ol, X02083 // Sugg",F2-06-S-01-01-01: F09,ol ol
N14025,"Bailey /4/ X07015, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-03-01-S-01-S-02: F09,ol ol
N14026,"Bailey /4/ X07016, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-01-S-02: F09,ol ol
N14027,"Bailey /4/ X07019, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-03-01-S-02-S-01: F09,ol ol
N14028,"N08064olCT /3/ X09003, N08064olCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-03-01-S-03-S-03: F09,ol ol
N14031,"N08064olCT /3/ X09003, N08064olCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-03-01-S-06-S-04: F09,ol ol
N14035,"Sullivan /3/ X09006, Sullivan // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-05-01-S-04-S-02: F09,ol ol
N14036,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-02-03-S-01-S-02: F09,ol ol
N14037,"Sullivan // X09017, Sullivan / Florida Fancy",BC1F1-02-02-S-01-S-02: F09,ol ol
N14038,"Sullivan // X09017, Sullivan / Florida Fancy",BC1F1-02-02-S-01-S-05: F09,ol ol
N14043,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-03-01-S-01-S-02: F09,ol ol
N14045,"N08064olCT // X09025, N08064olCT / CRSP 702",BC1F1-02-01-S-04-S-01: F09,ol ol
N14046,"N08064olCT // X09025, N08064olCT / CRSP 702",BC1F1-02-02-S-02-S-02: F09,ol ol
N14048,"N08080olC // X09029, N08080olC / CRSP 702",BC1F1-03-01-S-01-S-01: F09,ol ol
N15001,"N00098ol // X00090, PI 210832 / Chico ol1ol2, X03095 /3/ N03078FT",F1-05-01-01-01-01-01: F09,ol ol
N15002,"N00098ol // X00090, PI 210832 / Chico ol1ol2, X03095 /3/ N03084FT",F1-01-01-02-01-02-01: F09,ol ol
N15003,"N98002 / N00098ol, X02035 // N03078FT",F1-02-01-02-01-01-01: F09,ol ol
N15004,"Phillips / N99103ol , X02110 // N03084FT",F1-01-04-02-02-01-01: F09,ol ol
N15005,"N00055 / N00087ol, X02168 // N03078FT",F1-01-01-01-01-02-01: F09,ol ol
N15006,"N00061 / Brantley, X02179 // N03084FT",F1-01-03-01-01-02-01: F09,ol ol
N15007,"N05013J // X02012, Brantley / N99027L",F1-02-01-01-02-02-01: F09,ol ol
N15008,"N05047 // X02012, Brantley / N99027L",F1-02-02-02-01-01-01: F09,ol ol
N15017,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-01-03-02-02-02-02: F09,ol ol
N15018,"N03090T /4/ X07025, N03090T // X05032, N03090T / N02064ol, X05254 /3/ N03090T",BC3F1-01-01-01-01-02-01: F09,ol ol
N15039,"N03079FT*2 / N02054ol, X03153 // N05042F",F1-01-05-S-01-01-01: F09,ol ol
N15040,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-01-S-03-01-01: F09,ol ol
N15041,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-04-S-03-01-01: F09,ol ol
N15042,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-05-S-01-02-02: F09,ol ol
N15043,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-06-S-01-01-01: F09,ol ol
N15044,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-06-S-02-02-02: F09,ol ol
N15045,"N03079FT*2 / N02059ol, X03155 // SPT 06-06",F1-01-01-S-01-01-02: F09,ol ol
N15046,"N03079FT*2 / N02059ol, X03155 // SPT 06-06",F1-03-02-S-03-01-01: F09,ol ol
N15047,"Bailey*2 / Brantley, X03157 // N05049J",F1-01-02-S-03-02-01: F09,ol ol
N15048,"N08064olCT /3/ X09003, N08064olCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-03-01-S-02-S-02: F09,ol ol
N15049,"Sullivan /3/ X09006, Sullivan // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-02-01-S-03-S-02: F09,ol ol
N15050,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-04-03-S-01-S-01: F09,ol ol
N15051,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-10-03-S-05-S-02: F09,ol ol
N15052,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-03-01-S-02-S-02: F09,ol ol
N15053,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-03-01-S-02-S-03: F09,ol ol
N15054,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-03-01-S-02-S-04: F09,ol ol
N15055,"N08064olCT // X09025, N08064olCT / CRSP 702",BC1F1-02-01-S-06-S-02: F09,ol ol
N15056,"Bailey*2 / Brantley, N08086olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",F1-01-02-S-04-S-02: F09,ol ol
N15057,"Bailey*2 / Brantley, N08086olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",F1-01-02-S-04-S-03: F09,ol ol
N15060,"Bailey*2 / Brantley, N08086olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",F1-01-02-S-04-S-06: F09,ol ol
N16001,"N03079FT*2 / N02059ol, X03155 /3/ N06054C, N91026E / PI 576613 (DEW-1210), X94002 // Perry",F1-02-03-01-01-01-01: F09,ol ol
N16002,"Bailey*2 / Brantley, X03157 // SPT 06-03",F1-01-02-01-01-02-02: F09,ol ol
N16003,"Bailey*2 / Brantley, X03157 // SPT 06-03",F1-01-02-04-02-02-01: F09,ol ol
N16004,"Bailey*2 / Brantley, X03157 // SPT 06-03",F1-01-03-02-02-02-01: F09,ol ol
N16005,"Bailey*2 / Brantley, X03157 // GP-NC WS 16 (SPT 06-06)",F1-03-03-02-01-02-01: F09,ol ol
N16006,"Bailey*2 / Brantley, X03157 // GP-NC WS 16 (SPT 06-06)",F1-03-06-02-01-02-01: F09,ol ol
N16007,"N08063olFCT /3/ X09002, N08063olFCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-08-01-S-01-01-01: F09,ol ol
N16008,"N08063olFCT /3/ X09002, N08063olFCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-08-01-S-02-01-01: F09,ol ol
N16009,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-02-01-S-01-01-01: F09,ol ol
N16010,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-10-01-S-02-01-01: F09,ol ol
N16011,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-10-01-S-02-01-02: F09,ol ol
N16012,"N08082olJCT /3/ X09008, N08082olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-11-02-S-02-02-01: F09,ol ol
N16013,"N08084olC /3/ X09010, N08084olC // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-03-01-S-03-01-01: F09,ol ol
N16014,"N08084olC /3/ X09010, N08084olC // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-05-04-S-02-02-01: F09,ol ol
N16015,"N08084olC /3/ X09010, N08084olC // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-06-02-S-03-02-01: F09,ol ol
N16016,"N08084olC /3/ X09010, N08084olC // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-06-02-S-03-02-02: F09,ol ol
N16017,"N08084olC /3/ X09010, N08084olC // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-08-02-S-01-01-02: F09,ol ol
N16018,"Sullivan // X09017, Sullivan / Florida Fancy",BC1F1-03-01-S-02-01-01: F09,ol ol
N16019,"Sullivan // X09017, Sullivan / Florida Fancy",BC1F1-03-01-S-02-01-02: F09,ol ol
N16020,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-01-01-S-01-01-01: F09,ol ol
N16021,"N08082olJCT // X09019, N08082olJCT / Florida Fancy",BC1F1-01-01-S-03-01-01: F09,ol ol
N16022,"N08084olC // X09021, N08084olC / Florida Fancy",BC1F1-06-03-S-02-01-02: F09,ol ol
N16023,"N08084olC // X09021, N08084olC / Florida Fancy",BC1F1-06-05-S-02-01-01: F09,ol ol
N16024,"N08084olC // X09021, N08084olC / Florida Fancy",BC1F1-06-05-S-02-01-02: F09,ol ol
N16025,"N08086olJCT // X09022, N08086olJCT / Florida Fancy",BC1F1-03-03-S-01-02-01: F09,ol ol
N16026,"N08064olCT // X09025, N08064olCT / CRSP 702",BC1F1-02-03-S-02-01-01: F09,ol ol
N16027,"N08069olJCT // X09026, N08069olJCT / CRSP 702",BC1F1-03-02-S-03-02-01: F09,ol ol
N16028,"N08083olCT // X09031, N08083olCT / CRSP 702",BC1F1-02-02-S-01-02-01: F09,ol ol
N16029,"N08083olCT // X09031, N08083olCT / CRSP 702",BC1F1-05-01-S-02-01-01: F09,ol ol
N16030,"N08083olCT // X09031, N08083olCT / CRSP 702",BC1F1-07-01-S-01-02-01: F09,ol ol
N16031,"Bailey*2 / Brantley, N08086olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",F1-01-02-S-06-S-02: F09,ol ol
N16034,"N08070olJC /3/ X11010 , N08070olJC // X08055, N08059olFCT / GP-NC WS 17 (SPT 06-07)",BC1F1-01-01-S-03-S-05: F09,ol ol
N16035,"Wynne /3/ X11015 , Wynne // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-03-01-S-05-S-04: F09,ol ol
N16050,"N08082olJCT /3/ X11029 , N08082olJCT // X08055, N08059olFCT / GP-NC WS 17 (SPT 06-07)",BC1F1-03-01-SS-02-SS-03: F09,ol ol
N16054,"N09049olC /3/ X11034 , N09049olC // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-01-01-S-02-S-02: F09,ol ol
N16055,"N09049olC /3/ X11034 , N09049olC // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-01-01-S-02-S-03: F09,ol ol
N16056,"N09049olC /3/ X11034 , N09049olC // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-01-01-S-03-S-03: F09,ol ol
N16057,"N09049olC /3/ X11034 , N09049olC // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-09-01-S-01-S-02: F09,ol ol
N17001,"Sullivan /3/ X09006, Sullivan // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-05-03-02-01-01-01: F09,ol ol
N17002,"Sullivan /3/ X09006, Sullivan // SPT 07-01, NC-V 11 / GP-NC WS 11",BC1F1-05-03-02-02-01-01: F09,ol ol
N17003,"N08061olFCT // X09012, N08061olFCT / Florida Fancy",BC1F1-02-02-01-01-01-01: F09,ol ol
N17004,"N08061olFCT // X09012, N08061olFCT / Florida Fancy",BC1F1-06-01-01-01-02-01: F09,ol ol
N17005,"N08064olCT // X09025, N08064olCT / CRSP 702",BC1F1-04-04-02-01-01-01: F09,ol ol
N17007,"Sullivan // X09028, Sullivan / CRSP 702",BC1F1-02-02-01-01-01-02: F09,ol ol
N17008,"N03079FT*2 / N02059ol, N08070olJC // N07033olSm, N01015T / N00098ol",F1-01-02-01-01-01-02: F09,ol ol
N17009,"N03079FT*2 / N02059ol, N08070olJC // N07037olSm, N01015T / N00098ol",F1-01-01-02-02-02-01: F09,ol ol
N17010,"N03079FT*2 / N02059ol, N08071olJC // N07033olSm, N01015T / N00098ol",F1-01-02-01-01-01-02: F09,ol ol
N17011,"N03079FT*2 / N02059ol, N08071olJC // N07033olSm, N01015T / N00098ol",F1-02-01-02-01-03-01: F09,ol ol
N17012,"N03079FT*2 / N02059ol, N08072olCT // N07033olSm, N01015T / N00098ol",F1-01-01-01-01-02-02: F09,ol ol
N17013,"N03079FT*2 / N02059ol, N08072olCT // N07037olSm, N01015T / N00098ol",F1-02-01-02-01-01-02: F09,ol ol
N17014,"N03079FT*2 / N02059ol, Sullivan // N07036olSmT, N01015T / N00098ol",F1-01-01-01-01-01-02: F09,ol ol
N17015,"N03079FT*2 / N02059ol, Sullivan // N07036olSmT, N01015T / N00098ol",F1-01-01-01-01-02-01: F09,ol ol
N17016,"N03079FT*2 / N02059ol, Sullivan // N07036olSmT, N01015T / N00098ol",F1-01-01-01-02-01-01: F09,ol ol
N17017,"N03079FT*2 / N02059ol, Sullivan // N07036olSmT, N01015T / N00098ol",F1-02-01-03-01-01-01: F09,ol ol
N17018,"N03079FT*2 / N02059ol, Sullivan // N07036olSmT, N01015T / N00098ol",F1-02-01-03-01-01-02: F09,ol ol
N17019,"Bailey*2 / Brantley, N08079olFCT // N07036olSmT, N01015T / N00098ol",F1-01-02-01-01-03-01: F09,ol ol
N17020,"Bailey*2 / Brantley, N08085olJCT // N07037olSm, N01015T / N00098ol",F1-01-03-01-01-02-01: F09,ol ol
N17021,"N03073FT // X05016, N03073FT / N02064ol, X05239 /3/ SPT 07-01, NC-V 11 / GP-NC WS 11",F1-04-02-S-02-01-02: F09,ol ol
N17022,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / SPT 06-06",BC1F1-01-02-S-03-S-01: F09,ol ol
N17023,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / SPT 06-06",BC1F1-01-02-S-03-S-02: F09,ol ol
N17024,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / SPT 06-06",BC1F1-02-01-S-01-S-01: F07,ol ol
N17027,"N08070olJC /3/ X11006 , N08070olJC // X08055 (F1-02-01: F04), N08059olFCT / SPT 06-07",BC1F1-03-02-S-03-S-01: F09,ol ol
N17028,"Wynne /3/ X11015 , Wynne // X08054, N08059olFCT / SPT 06-06",BC1F1-03-01-S-01-S-01: F09,ol ol
N17029,"N08082olJCT /3/ X11029 , N08082olJCT // X08055, N08059olFCT / SPT 06-07",BC1F1-02-01-S-04-S-01: F09,ol ol
N17030,"N09049olC /3/ X11039 , N09049olC // X08055, N08059olFCT / SPT 06-07",BC1F1-09-01-S-01-S-02: F09,ol ol
N17031,"N09049olC /3/ X11040 , N09049olC // X08055, N08059olFCT / SPT 06-07",BC1F1-05-01-S-04-S-03: F09,ol ol
N17032,"N03079FT*2 / Brantley, N09037ol // N12010ol, Bailey*4 / N02060ol",F1-05-02-S-03-S-02: F09,ol ol
N17033,"N03079FT*2 / N02054ol, N09039olF // Bailey II, Bailey*4 / N02060ol",F1-01-02-S-04-S-03: F09,ol ol
N17034,"N03079FT*2 /  N02054ol, N09039olF /3/ CRSP 1050-110, Florida MDR 98 / Bayo Grande, 0020-20 // FNC94022-1-2-1-1-b3-B (I6), N91026E / PI 576638",F1-01-02-S-02-S-02: F09,ol ol
N17036,"Emery /3/ N11035olSrT, N03079FT*2 / Brantley, X03151 // Sugg",F1-02-01-S-02-S-03: F09,ol ol
N17037,"Emery /3/ N11035olSrT, N03079FT*2 / Brantley, X03151 // Sugg",F1-02-01-S-02-S-05: F09,ol ol
N17039,"N03079FT*2 /  Brantley, N10047ol // N12010ol, Bailey*4 / N02060ol",F1-01-01-S-03-S-01: F09,ol ol
N17040,"N03079FT*2 /  Brantley, N10047ol // N12010ol, Bailey*4 / N02060ol",F1-01-01-S-03-S-02: F09,ol ol
N17041,"N03079FT*2 /  Brantley, N10047ol // N12010ol, Bailey*4 / N02060ol",F1-01-01-S-03-S-03: F09,ol ol
N17042,"N03079FT*2 /  Brantley, N10047ol // N12010ol, Bailey*4 / N02060ol",F1-01-01-S-03-S-04: F09,ol ol
N17043,"Bailey*2 /  Brantley, N10053ol // Bailey II, Bailey*4 / N02060ol",F1-01-03-S-03-S-02: F09,ol ol
N17044,"Bailey*2 /  Brantley, N10053ol // Bailey II, Bailey*4 / N02060ol",F1-01-03-S-03-S-05: F09,ol ol
N17045,"Bailey*2 /  Brantley, N10053ol /3/ CRSP 1050-110, Florida MDR 98 / Bayo Grande, 0020-20 // FNC94022-1-2-1-1-b3-B (I6), N91026E / PI 576638",F1-01-02-S-02-S-01: F09,ol ol
N17047,"Bailey*2 /  Brantley, N10053ol /3/ CRSP 1050-110, Florida MDR 98 / Bayo Grande, 0020-20 // FNC94022-1-2-1-1-b3-B (I6), N91026E / PI 576638",F1-01-02-S-02-S-04: F09,ol ol
N18001,"Bailey*2 / Brantley, Wynne // N10078olJC, N03088T*2 / N02064ol",F1-02-01-01-02-01-01: F09,ol ol
N18002,"N00052 / N00098ol, N09024olJ // N09037ol, N03079FT*2 / Brantley",F1-02-01-01-02-01-01: F09,ol ol
N18003,"N00052 / N00098ol, N09024olJ // N09037ol, N03079FT*2 / Brantley",F1-04-02-01-01-01-01: F09,ol ol
N18004,"N03079FT*2 / Brantley, N09037ol // Wynne",F1-02-01-01-01-01-01: F09,ol ol
N18005,"N03079FT*2 / Brantley, N09037ol // Wynne",F1-03-01-01-01-01-01: F09,ol ol
N18006,"N03079FT*2 / Brantley, N09037ol // Wynne",F1-03-01-01-03-02-01: F09,ol ol
N18007,"N03079FT*2 / Brantley, N09037ol // N10078olJC, N03088T*2 / N02064ol",F1-01-01-01-01-01-01: F09,ol ol
N18008,"N03079FT*2 / Brantley, N09037ol // N10078olJC, N03088T*2 / N02064ol",F1-06-01-01-01-01-01: F09,ol ol
N18009,"N03079FT*2 / Brantley, N09037ol // Sugg",F1-01-03-01-02-01-02: F09,ol ol
N18010,"N03079FT*2 / Brantley, N09037ol // Sugg",F1-02-01-01-02-01-01: F09,ol ol
N18011,"N03079FT*2 / Brantley, N09037ol // Sugg",F1-03-02-01-01-02-02: F09,ol ol
N18012,"N03075FT / N00098ol, N09053olCSm // N08070olJC, N03079FT*2 / N02059ol",F1-02-02-01-03-02-01: F09,ol ol
N18013,"N03088T*2 / N02064ol, N10080olJLC // Wynne",F1-03-01-01-02-01-01: F09,ol ol
N18014,"N03088T*2 / N02064ol, N10080olJLC // Wynne",F1-03-02-01-02-02-01: F09,ol ol
N18015,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / SPT 06-06",BC1F1-01-01-S-03-02-01: F09,ol ol
N18016,"N09049olC /3/ X11033 , N09049olC // X08054, N08059olFCT / SPT 06-06",BC1F1-04-02-S-01-01-01: F09,ol ol
N18017,"N09049olC /3/ X11037 , N09049olC // X08055, N08059olFCT / SPT 06-07",BC1F1-02-01-S-02-01-01: F09,ol ol
N18018,"N09049olC /3/ X11039 , N09049olC // X08055, N08059olFCT / SPT 06-07",BC1F1-01-02-S-01-01-01: F09,ol ol
N18019,"N09053olCSm /3/ X11042 , N09053olCSm // X08051, N08059olFCT / N06056LT",BC1F1-03-01-S-01-01-02: F09,ol ol
N18020,"N09053olCSm /3/ X11042 , N09053olCSm // X08051, N08059olFCT / N06056LT",BC1F1-03-01-S-02-02-01: F09,ol ol
N18021,"N09053olCSm /3/ X11044 , N09053olCSm // X08054, N08059olFCT / SPT 06-06",BC1F1-08-01-S-02-01-01: F09,ol ol
N18022,"N09053olCSm /3/ X11044 , N09053olCSm // X08054, N08059olFCT / SPT 06-06",BC1F1-08-01-S-03-01-01: F09,ol ol
N18023,"N03079FT*2 / Brantley, N09037ol // N12010ol, Bailey*4 / N02060ol",F1-04-02-S-02-S-01: F09,ol ol
N18024,"N03079FT*2 / Brantley, N09037ol // N12010ol, Bailey*4 / N02060ol",F1-04-02-S-03-S-01: F09,ol ol
N18025,"N03079FT*2 / N02054ol, N09039olF /3/ CRSP 1050-110, Florida MDR 98 / Bayo Grande, 0020-20 // FNC94022-1-2-1-1-b3-B (I6), N91026E / PI 576638",F1-01-02-S-01-S-01: F09,ol ol
N18026,"N03079FT*2 /  N02054ol, N09042olF // Bailey II, Bailey*4 / N02060ol",F1-01-03-S-04-S-01: F09,ol ol
N18027,"N03079FT*2 /  N02054ol, N09042olF // Bailey II, Bailey*4 / N02060ol",F1-01-03-S-06-S-02: F09,ol ol
N18028,"Emery // Bailey II, Bailey*4 / N02060ol",F1-01-02-S-02-S-01: F09,ol ol
N18029,"Emery /3/ N11035olSrT, N03079FT*2 / Brantley, X03151 // Sugg",F1-02-01-S-01-S-02: F09,ol ol
N18030,"N03079FT*2 / Brantley, N10047ol // N12007ol, Bailey*4 / N02060ol",F1-02-02-S-02-S-02: F09,ol ol
N18031,"N03079FT*2 / Brantley, N10047ol // N12007ol, Bailey*4 / N02060ol",F1-04-01-S-02-S-02: F09,ol ol
N18032,"Bailey*2 /  Brantley, N10053ol // N12007ol, Bailey*4 / N02060ol",F1-03-02-S-02-S-01: F09,ol ol
N18036,"Sullivan /3/ N11045ol, N03079FT*2 / N02054ol, X03153 // N03078FT",F1-02-04-02-S-02-S-02: F10,ol ol
N18037,"Sullivan /3/ N11045ol, N03079FT*2 / N02054ol, X03153 // N03078FT",F1-02-04-02-S-02-S-03: F10,ol ol
N18038,"Sullivan /3/ N11045ol, N03079FT*2 / N02054ol, X03153 // N03078FT",F1-02-04-02-S-03-S-01: F10,ol ol
N18039,"Sullivan /3/ N11045ol, N03079FT*2 / N02054ol, X03153 // N03078FT",F1-02-04-02-S-03-S-03: F10,ol ol
N18040,"Sullivan /3/ N11045ol, N03079FT*2 / N02054ol, X03153 // N03078FT",F1-02-04-02-S-03-S-04: F10,ol ol
N18048,"N03079FT*2 / Brantley, X03151 // Sugg, N11038olSrT /3/ Emery",F1-01-04-01-S-01-S-02: F10,ol ol
N18050,"N03079FT*2 / Brantley, X03151 // Sugg, N11038olSrT /3/ Emery",F1-01-04-01-S-01-S-06: F10,ol ol
SPT 10-05ol,NC 12C / GP-NC WS 15 // Brantley,,ol ol
SPT 10-11ol,NC 12C / GP-NC WS 15 // ANorden ,,ol ol
SPT 10-12ol,NC 12C / GP-NC WS 15 // N02060ol,,ol ol
SPT 10-12ol,NC 12C / GP-NC WS 13 // SunOleic 97R,,ol ol
SPT 10-14ol,NC 12C / GP-NC WS 15 // Brantley,,ol ol
SPT 10-16ol,NC 12C / GP-NC WS 1 // SunOleic 97R,,ol ol
SPT 10-17ol,"N00098ol (Gregory) /3/ SPT 06-06, DP-1 (UF97318) // C-99R (UF94320) / GP-NC WS 12",,ol ol
SPT 11-03ol,ANorden / SPT 06-07,,ol ol
SPT 13-05ol,SPT 06-06 // N03079FT*2 / N02059ol,,ol ol
Sullivan,N03079FT*2 / N02059ol,BC1F1-04-02-S-04-S-03: F09,ol ol
TUFRunner 297,TUFRunner 297,,ol ol
TUFRunner 511,TUFRunner 511,,ol ol
TUFRunner 727,TUFRunner 727,,ol ol
Wynne,Bailey*2 / Brantley,BC1F1-04-01-S-02-S-02: F09,ol ol
N11015,"N03080FT // X05025, N03080FT / N02060ol",BC1F1-05-01-S-01-02-01: F08,Check
N11026,"N02059ol // N02006 / N02059ol, X03146 /3/ Sugg",F2-02-S-01-S-03: F08,Check
N11030,"N03079FT*2 / Brantley, X03151 // Sugg",F2-09-S-01-S-02: F09,Check
N12007,"Bailey /4/ X07016, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-02-S-01: F09,Check
N12009,"Bailey /4/ X07016, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-02-S-03: F09,Check
N12010,"Bailey /4/ X07016, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-02-S-06: F09,Check
N12015,"Bailey /4/ X07018, Bailey // X05028, Bailey / N02064ol, X05250 /3/ Bailey",BC3F1-06-02-S-03-S-01: F09,Check
N13048,"N03079FT*2 / N02059ol, X03155 // N05044FCSm",F1-01-03-S-03-S-03: F09,Check
N14024,"Bailey /4/ X07013, Bailey // X05027, Bailey / N02060ol, X05249 /3/ Bailey",BC3F1-02-01-S-01-S-01: F09,Check
N15066,"Bailey*2 / Brantley, N08086olJCT // SPT 07-01, NC-V 11 / GP-NC WS 11",F1-01-02-S-07-S-01: F09,Check
N16032,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / GP-NC WS 16 (SPT 06-06)",BC1F1-01-02-S-01-S-01: F09,Check
N17006,"N08073olCT // X09027, N08073olCT / CRSP 702",BC1F1-01-01-01-01-01-02: F09,Check
N17025,"N08070olJC /3/ X11005 , N08070olJC // X08054, N08059olFCT / SPT 06-06",BC1F1-02-01-S-03-S-01: F09,Check
N17026,"N08070olJC /3/ X11006 , N08070olJC // X08055 (F1-02-01: F04), N08059olFCT / SPT 06-07",BC1F1-03-02-S-02-S-01: F09,Check
N18054,"N07018JCSm // N12009olCLT, Bailey*4 / N02060ol",F1-01-04-01-S-04-S-02: F10,Check
